"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",43,1500,1600,1600,1600,1600,1600,1600,1600,1600
"GET silver-1",43,1500,1600,1600,1600,1600,1600,1600,1600,1600
"GET silver-2",44,1500,1600,1600,1600,1600,1600,1600,1600,1600
"GET silver-3",43,1500,1500,1600,1600,1600,1600,1700,1700,1700
"GET silver-4",43,1500,1500,1600,1600,1600,1600,1600,1600,1600
"GET silver-5",43,1500,1500,1600,1600,1600,1600,1600,1600,1600
"GET silver-6",43,1500,1600,1600,1600,1600,1600,1600,1600,1600
"GET silver-7",43,1500,1600,1600,1600,1600,1600,1600,1600,1600
"GET silver-8",43,1500,1600,1600,1600,1600,1600,1700,1700,1700
"GET silver-9",43,1500,1500,1600,1600,1600,1600,1600,1600,1600
"Total",431,1500,1600,1600,1600,1600,1600,1600,1600,1700
